,scene,description
0,A Goblin Fires an Arrow at You,"The little creature nocks an arrow in their bow, carefully aiming until they’re sure it will hit its target, and releases. The arrow flies toward you quicker than a bird, puncturing a small but painful hole in your body."
1,A Torn Page from Nuldy’s Compendium of Insect Inquiries,"In many regions of the civilized-yet-recluse world, communities are well acquainted with the infamous folklore of the Dung Beetle. These timid insects incite fear in commoners—they are a deadly infestation—and adventurers. Amassing large hoards of refuse, these beetles possess the innate magic to set dung on fire and fling it with amazing accuracy. Small explosions immediately follow something being hit by one of these flaming dung balls. A single Dung Beetle is manageable, but where there is one, there are said to be many more, and a swarm is a curse. Best to give this beetle plenty of space and keep your latrine clean."
2,Aberrant Spirit Creature,"Most creatures in the world are visible because of the reflection of light from their bodies provides the eye with an image for the brain to process. This creature is different, only visible because of the nimbus of red—mist? fire?—surrounding it. It slithers from the floor, up the wall, then into the air itself, unbound by gravity. Many eyes float around its shadowy form, which has a mantis-like head and large claws, behind which are a set of six chittering centipedal legs and a long tail crested with a fin. No smell accompanies this aberration, but a chill pervades the air around it, and the constant sound of screams and wails assault your ears."
3,Adult Brass Dragon,"Webbed fins unfurl from the neck of this massive draconic creature, and its ruddy brass scales catch the light of the sun brilliantly. It moves with a strange and alluring grace, watching you from a distance with eyes cunning and curious. The membrane of its wings extends down the length of the reptilian beast's tail, giving it the look of a robed figure. As you fully reckon its size, you're left in awe."
4,Air Elemental,"A contained haze—part mirage, part fog—whispers through the air. Roughly eight feet in diameter, the thing floats of its own accord, heedless of any wind. Questing appendages spin out of its form in tight whirlwinds to investigate the space around it."
5,Ancient Gold Dragon,You shield your eyes from the brightness of the vast and glittering body before you. Any light that strikes it seems to reflect tenfold; from between your fingers you can make out its vast draconic shape. You sense more than see that two infinitely wise eyes gaze benevolently upon you.
6,Ancient Red Dragon,"Centuries of creating terror, causing anguish, and fomenting chaos should weigh upon a soul. Some stain from the blood of countless dead should tarnish the body. But the beast before you seems utterly content and comfortable in its shining crimson scales. The dragon shrugs and settles its body like a cat—a cat that can crush a castle tower between its claws."
7,Aquatic Lawnmower Mimic,"
"
8,Astral Dreadnought,"At first, you aren’t sure what you’re seeing. It's simply a blackness in what is otherwise a sea of stars, moving slowly across your vision, but then one great yellow eye snaps open and a mouth opens out of the dark. The maw before you is massive, large enough to swallow whales whole, though there are rows of teeth as long as swords to ensure that whatever goes down that gullet would not do so in one piece. Two enormous crab-like pincers and a large serpentine-like body complete the gray-skinned monstrosity as it advances on your position."
9,Awakened Shrub with Club,"Brought into a semblance of sentient awareness by powerful magic, the shrub, indistinguishable at first from one of its stationary fellows, shambles forward on roots shaped like feet. It is difficult to distinguish its motivation: although it lacks facial features, it clutches a rude club in its twig-like fingers with a silent, businesslike determination."
10,Black Dragon Wyrmling,"The draconic creature, serpentine in appearance and roughly the size of a large dog, slithers toward you. Its eyes are sharp and cunning, its scales black like obsidian, its nostrils flared as it breathes in your scent. Hooked, wicked teeth flash as its maw gapes. Saliva drips, caustic, green, and hissing."
11,Bones of Big Animal in Swamp,"The skeleton of a massive, feline beast lies beneath the surface of the swamp. Massive, curving fangs and razor claws could not spare the predator its fate at the bottom of the fen, where the acidic waters slowly devour the bleached bones. As one passes, they might swear to see a ghostly light aglow in the sunken pits of the beast’s eye sockets."
12,Burrowing Wurm,"A huge and hideous wormlike creature burrows its way up through the ground, the earth crumbling down its thick, oozy body in a collapsing mess. It has no legs, only a bulbous body and a mouth filled with sharp teeth. It opens its maw in a sound not unlike a wooden plank being torn apart, and the smell of rotting meat fills the air."
